code,local_code,name,iso_country
JP-01,01,Hokkaidō Prefecture,JP
JP-12,12,Chiba Prefecture,JP
JP-13,13,Tōkyō Prefecture,JP
JP-22,22,Shizuoka Prefecture,JP
JP-23,23,Aichi Prefecture,JP
JP-27,27,Ōsaka Prefecture,JP
JP-40,40,Fukuoka Prefecture,JP
JP-46,46,Kagoshima Prefecture,JP
JP-47,47,Okinawa Prefecture,JP
KE-110,110,Nairobi Province,KE
KE-300,300,Coast Province,KE
KG-C,C,Chuy Region,KG
KH-17,17,Siem Reab,KH
KH-8,8,Kandaal,KH
KR-11,11,Seoul Teugbyeolsi,KR
KR-26,26,Busan Gwang'yeogsi,KR
KR-28,28,Incheon Gwang'yeogsi,KR
KR-41,41,Gyeonggido,KR
KR-43,43,Chungcheongbugdo,KR
KR-45,45,Jeonrabugdo,KR
KR-46,46,Jeonranamdo,KR
KR-49,49,Jejudo,KR
KW-FA,FA,Al Farwaniyah Governorate,KW
KY-U-A,U-A,(unassigned),KY
KZ-AKM,AKM,Akmola Region,KZ
KZ-ALM,ALM,Almaty Region,KZ
KZ-KAR,KAR,Karaganda Region,KZ
LB-JL,JL,Mount Lebanon Governorate,LB
LK-1,1,Western Province,LK
LK-3,3,Southern Province,LK
LT-VL,VL,Vilnius County,LT
LU-L,L,Luxembourg,LU
LV-RIX,RIX,Riga (city),LV
LY-TB,TB,Tripoli District,LY
MA-CAS,CAS,Casablanca Province,MA
ME-16,16,Podgorica Municipality,ME
MM-04,04,Mandalay Division,MM
MM-06,06,Yangon Division,MM
MO-U-A,U-A,(unassigned),MO
MR-NKC,NKC,Nouakchott Region,MR
MT-25,25,Luqa,MT
MU-VP,VP,Vacosa-Phoenix,MU
MV-MLE,MLE,Malé Capital,MV
MX-BCN,BCN,Baja California,MX
MX-BCS,BCS,Baja California Sur,MX
MX-DIF,DIF,Distrito Federal,MX
MX-GRO,GRO,Guerrero,MX
MX-JAL,JAL,Jalisco,MX
MX-NLE,NLE,Nuevo Leon,MX
MX-ROO,ROO,Quintana Roo,MX
MX-SON,SON,Sonora,MX
MY-14,14,Wilayah Persekutuan Kuala Lumpur,MY
NG-AK,AK,Akwa Ibom,NG
NG-FC,FC,Abuja Capital Territory,NG
NG-KN,KN,Kano,NG
NG-LA,LA,Lagos,NG
NL-LI,LI,Limburg,NL
NL-NB,NB,Noord-Brabant,NL
NL-NH,NH,Noord-Holland,NL
NO-02,02,Akershus,NO
NO-11,11,Rogaland,NO
NO-12,12,Hordaland,NO
NO-17,17,Nord-Trøndelag,NO
NO-18,18,Nordland,NO
NO-19,19,Troms,NO
NZ-AUK,AUK,Auckland Region,NZ
NZ-CAN,CAN,Canterbury Region,NZ
NZ-WGN,WGN,Wellington Region,NZ
OM-BA,BA,Al Batinah Governorate,OM
OM-MA,MA,Masqat Governorate,OM
OM-WU,WU,Al Wusta Governorate,OM
PA-8,8,Panamá Province,PA
PE-CUS,CUS,Cuzco Region,PE
PE-LIM,LIM,Lima Region,PE
PG-NCD,NCD,National Capital District (Port Moresby),PG
PH-CEB,CEB,Cebu Province,PH
PH-DAV,DAV,Davao Province,PH
PH-MSR,MSR,Misamis Oriental Province,PH
PH-PAM,PAM,Pampanga Province,PH
PH-U-A,U-A,(unassigned),PH
PK-IS,IS,Islamabad Capital Territory,PK
PK-PB,PB,Punjab,PK
PL-DS,DS,Lower Silesia,PL
PL-MA,MA,Lesser Poland,PL
PL-MZ,MZ,Masovia,PL
PL-PM,PM,Pomerania,PL
PL-SL,SL,Silesia,PL
PL-WP,WP,Greater Poland,PL
PR-U-A,U-A,(unassigned),PR
PT-08,08,Faro District,PT
PT-11,11,Lisbon District,PT
PT-13,13,Oporto District,PT
PT-20,20,Autonomous Region of Azores,PT
QA-DA,DA,Ad Dawhah Municipality,QA
RO-B,B,Bucureşti,RO
RS-00,00,Beograd (city),RS
RU-BA,BA,Republic of Bashkortostan,RU
RU-CE,CE,Chechen Republic,RU
RU-KDA,KDA,Krasnodar Krai,RU
RU-KHA,KHA,Khabarovsk Krai,RU
RU-KYA,KYA,Krasnoyarsk Krai,RU
RU-MOS,MOS,Moscow Oblast,RU
RU-NVS,NVS,Novosibirsk Oblast,RU
RU-ROS,ROS,Rostov Oblast,RU
RU-SAM,SAM,Samara Oblast,RU
RU-SPE,SPE,Saint Petersburg (city),RU
RU-SVE,SVE,Sverdlovsk Oblast,RU
RU-TA,TA,Republic of Tatarstan,RU
SA-01,01,Riyadh Region,SA
SA-02,02,Makkah Region,SA
SA-03,03,Al Madinah Region,SA
SA-04,04,Ash Sharqiyah Region,SA
SD-03,03,Khartoum State,SD
SE-AB,AB,Stockholms län,SE
SE-BD,BD,Norrbottena län,SE
SE-M,M,Skåne län,SE
SE-Q,Q,Västra Götalands län,SE
SG-04,04,South East,SG
SI-061,061,Ljubljana,SI
SK-BL,BL,Bratislava,SK
SN-DK,DK,Dakar Region,SN
SS-17,17,Central Equatoria State,SS
SV-PA,PA,La Paz,SV
SX-U-A,U-A,(unassigned),SX
SY-DI,DI,Damascus Governorate,SY
SY-HL,HL,Aleppo Governorate,SY
SY-LA,LA,Latakia Governorate,SY
TH-10,10,Bangkok Province,TH
TH-50,50,Chiang Mai Province,TH
TH-83,83,Phuket Province,TH
TN-11,11,Tunis Governorate,TN
TN-51,51,Sousse Governorate,TN
TR-01,01,Adana Province,TR
TR-06,06,Ankara Province,TR
TR-07,07,Antalya Province,TR
TR-25,25,Erzurum Province,TR
TR-27,27,Gaziantep Province,TR
TR-32,32,Isparta Province,TR
TR-34,34,İstanbul Province,TR
TR-35,35,İzmir Province,TR
TR-48,48,Muğla Province,TR
TR-61,61,Trabzon Province,TR
TW-KHH,KHH,Kaohsiung (municipality),TW
TW-TAO,TAO,Taoyuan County,TW
TW-X-KM,X-KM,Kinmen County,TW
TZ-02,02,Dar-es-Salaam Region,TZ
UA-32,32,Kiev,UA
UA-43,43,Crimea,UA
UA-51,51,Odessa,UA
UA-63,63,Kharkiv,UA
US-AK,AK,Alaska,US
US-AL,AL,Alabama,US
US-AR,AR,Arkansas,US
US-AZ,AZ,Arizona,US
US-CA,CA,California,US
US-CO,CO,Colorado,US
US-CT,CT,Connecticut,US
US-DC,DC,District of Columbia,US
US-DE,DE,Delaware,US
US-FL,FL,Florida,US
US-GA,GA,Georgia,US
US-HI,HI,Hawaii,US
US-IA,IA,Iowa,US
US-ID,ID,Idaho,US
US-IL,IL,Illinois,US
US-IN,IN,Indiana,US
US-KS,KS,Kansas,US
US-KY,KY,Kentucky,US
US-LA,LA,Louisiana,US
US-MA,MA,Massachusetts,US
US-MD,MD,Maryland,US
US-ME,ME,Maine,US
US-MI,MI,Michigan,US
US-MN,MN,Minnesota,US
US-MO,MO,Missouri,US
US-MS,MS,Mississippi,US
US-MT,MT,Montana,US
US-NC,NC,North Carolina,US
US-NH,NH,New Hampshire,US
US-NJ,NJ,New Jersey,US
US-NM,NM,New Mexico,US
US-NV,NV,Nevada,US
US-NY,NY,New York,US
US-OH,OH,Ohio,US
US-OK,OK,Oklahoma,US
US-OR,OR,Oregon,US
US-PA,PA,Pennsylvania,US
US-SC,SC,South Carolina,US
US-TN,TN,Tennessee,US
US-TX,TX,Texas,US
US-UT,UT,Utah,US
US-VA,VA,Virginia,US
US-WA,WA,Washington,US
US-WI,WI,Wisconsin,US
US-WV,WV,West Virginia,US
US-WY,WY,Wyoming,US
UY-CA,CA,Canelones Department,UY
UZ-TO,TO,Toshkent,UZ
VE-B,B,Anzoategui,VE
VE-X,X,Vargas,VE
VN-15,15,Ha Tay Province,VN
VN-23,23,Ha Tinh Province,VN
VN-60,60,Da Nang Municipality,VN
XK-01,01,Pristina District,XK
ZA-GT,GT,Gauteng,ZA
ZA-NL,NL,Kwazulu-Natal,ZA
ZA-WC,WC,Western Cape,ZA
ZM-09,09,Lusaka Province,ZM
